"Sample ID","File ID","Remarks","DNA isolation protocol","Extract DNA concentration (ng/μL)","PCR round","Library DNA concentration (ng/μL)","Raw reads*","Filtered reads","Denoised reads","Merged reads","Non-chimaeric sequences"
"1","1-16S","01/06/2023 N4A La Coría","PowerSoil Pro",">100","3","18.4","233718","223711","217317","197347","171404"
"2","2-16S","02/06/2023 N2B Cabueñes","PowerSoil Pro",">100","3","15.9","163948","156952","151773","138023","117399"
"3","3-16S","05/06/23","PowerSoil Pro","76.6","3","16.7","141894","135940","131979","122814","103048"
"4","4-16S","05/06/23","PowerSoil Pro",">100","3","18.3","124902","119479","115181","104619","93169"
"5","5-16S","05/06/23","PowerSoil Pro",">100","3","16.5","121413","115880","111604","100307","87990"
"6","6-16S","07/06/23","PowerSoil Pro",">100","3","15.7","200048","191496","185410","167523","146225"
"7","7-16S","07/06/23","PowerSoil Pro",">100","3","20.8","168292","160059","154714","139877","122640"
"8","8-16S","07/06/23","PowerSoil Pro",">100","3","10.3","218263","209199","202514","180936","158252"
"9","9-16S","08/06/23","PowerSoil Pro",">100","3","17.1","189274","180366","175182","159223","140651"
"10","10-16S","08/06/23","PowerSoil Pro",">100","3","14.9","152193","145678","140931","127993","113010"
"11","11-16S","08/06/23","PowerSoil Pro","95.2","3","12.3","138631","132271","127533","116807","103768"
"12","12-16S","12/06/23","PowerSoil Pro",">100","3","12.9","158446","152244","147442","133926","116842"
"13","13-16S","12/06/23","PowerSoil Pro","78","3","14.6","119952","114896","110095","100846","88631"
"14","14-16S","12/06/23","PowerSoil Pro",">100","3","18.7","155175","148365","142489","129281","110436"
"15","15-16S","14/06/23","PowerSoil Pro","90.8","3","12.3","149023","143055","138463","128341","116709"
"16","16-16S","14/06/23","PowerSoil Pro",">100","3","19.7","117243","112341","108209","98039","84094"
"17","17-16S","14/06/23","PowerSoil Pro",">100","3","18","158943","152176","147518","135164","118359"
"18","18-16S","14/06/23","PowerSoil Pro",">100","3","16.2","147729","141390","136285","123537","108163"
"19","19-16S","19/06/23","PowerSoil Pro","79","3","13.6","154934","148849","144501","133119","120960"
"20","20-16S","19/06/23","PowerSoil Pro",">100","3","14.9","150678","145286","140058","127643","110949"
"21","21-16S","19/06/23","PowerSoil Pro","70.2","3","14.6","142536","137080","132082","121785","106610"
"22","22-16S","21/06/23","PowerSoil Pro","16.2","3","18","143514","138343","134120","127720","117551"
"23FD","23FD-16S","21/06/23","FastDNA","7.98","11","2.52","131436","125646","122271","118049","110346"
"24","24-16S","21/06/23","PowerSoil Pro",">100","3","11.6","128390","122837","118100","107482","90764"
"25","25-16S","22/06/23","PowerSoil Pro",">100","3","21.6","131072","125558","121213","109357","95048"
"26","26-16S","22/06/23","PowerSoil Pro",">100","3","14.6","145511","139973","135525","122925","106673"
"27","27-16S","22/06/23","PowerSoil Pro",">100","3","18.5","168827","160824","156130","141782","123979"
"28","28-16S","23/06/23","PowerSoil Pro",">100","3","15.5","141122","135177","129245","115616","101525"
"29","29-16S","23/06/23","PowerSoil Pro",">100","3","19","155374","149107","143301","128151","110730"
"30","30-16S","23/06/23","PowerSoil Pro",">100","3","18.1","145967","139542","134711","121765","104324"
"Bex1","Bex1-16S","n/a","PowerSoil Pro","<0.1","3","<0.1","11","10","2","2","2"
"Bex2","Bex2-16S","n/a","PowerSoil Pro","<0.1","3","<0.1","3","3","1","0","0"
"Bex4","Bex4-16S","n/a","FastDNA","<0.1","11","<0.1","18","15","1","0","0"
"BPCR3","BPCR3-16S","n/a","n/a","n/a","3","<0.1","131","107","21","13","13"
"BPCR11","n/a","n/a","n/a","n/a","11","<0.1","0","0","0","0","0"